feature,category,precision,recall,fbeta
occupation,Adm-clerical,0.39655172413793105,0.23469387755102042,0.2948717948717949
occupation,Machine-op-inspct,0.19230769230769232,0.11904761904761904,0.14705882352941174
occupation,Craft-repair,0.5257731958762887,0.281767955801105,0.36690647482014394
occupation,Transport-moving,0.6086956521739131,0.4117647058823529,0.4912280701754386
occupation,Farming-fishing,0.25,0.2222222222222222,0.23529411764705882
occupation,?,0.6,0.5,0.5454545454545454
occupation,Other-service,0.39285714285714285,0.3548387096774194,0.3728813559322034
occupation,Handlers-cleaners,0.42857142857142855,0.42857142857142855,0.42857142857142855
occupation,Tech-support,0.5909090909090909,0.24528301886792453,0.3466666666666666
occupation,Priv-house-serv,0.0,1.0,0.0
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Husband,0.7697228144989339,0.3114754098360656,0.4434889434889434
relationship,Own-child,0.28205128205128205,0.5238095238095238,0.36666666666666664
relationship,Unmarried,0.42424242424242425,0.32558139534883723,0.368421052631579
relationship,Not-in-family,0.3618421052631579,0.34375,0.35256410256410253
relationship,Other-relative,0.25,0.2857142857142857,0.26666666666666666
relationship,Wife,0.7758620689655172,0.3383458646616541,0.47120418848167545
race,White,0.6510263929618768,0.3217391304347826,0.4306498545101842
race,Other,0.25,0.5,0.3333333333333333
race,Black,0.5365853658536586,0.27848101265822783,0.36666666666666664
race,Amer-Indian-Eskimo,0.3333333333333333,0.5,0.4
race,Asian-Pac-Islander,0.7307692307692307,0.3275862068965517,0.4523809523809524
sex,Male,0.6857142857142857,0.3148148148148148,0.4315177154944474
sex,Female,0.4878048780487805,0.3524229074889868,0.40920716112531963
native-country,United-States,0.6397163120567376,0.32516222062004324,0.4311663479923518
native-country,Puerto-Rico,1.0,1.0,1.0
native-country,Portugal,0.0,0.0,0.0
native-country,Mexico,0.5,0.25,0.3333333333333333
native-country,Canada,1.0,0.125,0.2222222222222222
native-country,Italy,0.0,0.0,0.0
native-country,Haiti,1.0,0.0,0.0
native-country,Columbia,0.0,1.0,0.0
native-country,Cuba,0.3333333333333333,0.2,0.25
native-country,Taiwan,1.0,0.3333333333333333,0.5
native-country,?,0.9230769230769231,0.4,0.5581395348837209
native-country,Jamaica,1.0,0.3333333333333333,0.5
native-country,Dominican-Republic,0.5,1.0,0.6666666666666666
native-country,Germany,1.0,0.2857142857142857,0.4444444444444445
native-country,Peru,1.0,1.0,1.0
native-country,Vietnam,1.0,0.0,0.0
native-country,Guatemala,0.0,1.0,0.0
native-country,Philippines,1.0,0.09090909090909091,0.16666666666666669
native-country,Yugoslavia,1.0,0.0,0.0
native-country,El-Salvador,0.5,0.3333333333333333,0.4
native-country,Greece,0.6666666666666666,1.0,0.8
native-country,Hong,1.0,0.0,0.0
native-country,India,1.0,0.2,0.33333333333333337
native-country,Japan,0.0,0.0,0.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,South,0.5,0.5,0.5
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Poland,0.5,0.3333333333333333,0.4
native-country,China,1.0,0.42857142857142855,0.6
native-country,Ecuador,1.0,0.5,0.6666666666666666
native-country,Iran,1.0,0.25,0.4
native-country,France,1.0,0.0,0.0
native-country,Ireland,1.0,1.0,1.0
native-country,Cambodia,0.0,0.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,England,1.0,0.0,0.0
native-country,Scotland,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
